"Longitude (x)","Latitude (y)","Nom de la Station","ID climatologique","Date/Heure (HNL)","Année","Mois","Jour","Heure (HNL)","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Hauteur de précip. (mm)","Hauteur de précip. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2014-03-01 00:00","2014","03","01","00:00","-15,4","","-22,5","","55","","","","16","","11","","16,1","","102,58","","","","-22","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2014-03-01 01:00","2014","03","01","01:00","-15,8","","-22,8","","55","","","","16","","11","","16,1","","102,55","","","","-23","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2014-03-01 02:00","2014","03","01","02:00","-15,8","","-22,3","","58","","","","14","","5","","16,1","","102,51","","","","-20","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2014-03-01 03:00","2014","03","01","03:00","-16,2","","-22,9","","57","","","","13","","8","","16,1","","102,46","","","","-22","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2014-03-01 04:00","2014","03","01","04:00","-15,9","","-22,0","","60","","","","13","","8","","16,1","","102,39","","","","-21","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2014-03-01 05:00","2014","03","01","05:00","-16,0","","-21,8","","62","","","","10","","8","","16,1","","102,34","","","","-22","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2014-03-01 06:00","2014","03","01","06:00","-15,1","","-20,6","","64","","","","12","","8","","16,1","","102,26","","","","-20","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2014-03-01 07:00","2014","03","01","07:00","-14,2","","-19,7","","64","","","","13","","9","","16,1","","102,20","","","","-20","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2014-03-01 08:00","2014","03","01","08:00","-12,4","","-18,3","","62","","","","16","","11","","16,1","","102,16","","","","-18","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2014-03-01 09:00","2014","03","01","09:00","-10,6","","-17,7","","56","","","","19","","21","","16,1","","102,07","","","","-19","","ND"
