dateIDh,Temp,DewPoint,HumRel,PrecipitationHgt,WindDir,WindSpd,Vis,Pkpa,Hmdx,WindChill,Rain,Snow,Thunderstorm,Drizzle,Fog,Cloudy,Sunny,dateIDd,dateIDm,Year,Month,Day,Hour,Weekday,Holiday,Duration,Volume
2017041500,8.299999999999999,-3.633333333333333,44.0,0.0,22.66666666666667,9.333333333333334,20.1,102.10666666666668,,,0,0,0,0,0,0,0,20170415,201704,2017,4,15,0,0,0,752.4518518518518,135
2017041501,6.7666666666666675,-3.8666666666666663,49.0,0.0,22.0,8.0,20.1,102.05,,,0,0,0,0,0,0,1,20170415,201704,2017,4,15,1,0,0,763.0289855072464,69
2017041502,6.533333333333334,-3.8333333333333335,50.0,0.0,20.33333333333333,8.333333333333334,20.1,102.01,,,0,0,0,0,0,0,0,20170415,201704,2017,4,15,2,0,0,648.8823529411766,34
2017041503,5.4,-3.3666666666666667,56.66666666666666,0.0,22.66666666666667,7.666666666666668,20.1,101.96999999999998,,,0,0,0,0,0,0,0,20170415,201704,2017,4,15,3,0,0,591.0833333333334,36
2017041504,5.1000000000000005,-2.966666666666667,57.33333333333334,0.0,16.0,6.333333333333332,20.1,101.94,,,0,0,0,0,0,0,1,20170415,201704,2017,4,15,4,0,0,702.5454545454545,11
2017041505,3.8666666666666667,-2.333333333333333,64.33333333333333,0.0,20.666666666666668,5.0,32.2,101.95,,,0,0,0,0,0,0,0,20170415,201704,2017,4,15,5,0,0,417.61111111111114,18
2017041506,4.6000000000000005,-1.6333333333333335,64.33333333333333,0.0,16.0,6.666666666666668,32.2,101.94666666666667,,,0,0,0,0,0,0,0,20170415,201704,2017,4,15,6,0,0,938.5,32
2017041507,6.466666666666668,-1.2333333333333334,58.33333333333334,0.0,14.666666666666664,7.666666666666668,32.2,101.93333333333334,,,0,0,0,0,0,1,0,20170415,201704,2017,4,15,7,0,0,647.6282051282051,78
2017041508,8.766666666666667,-2.466666666666667,45.0,0.0,14.333333333333336,7.0,32.2,101.85,,,0,0,0,0,0,0,0,20170415,201704,2017,4,15,8,0,0,847.4458598726114,157
2017041509,11.066666666666668,-0.9,43.66666666666666,0.0,16.333333333333332,8.333333333333334,32.2,101.77,,,0,0,0,0,0,0,0,20170415,201704,2017,4,15,9,0,0,844.8472222222223,288
2017041510,13.9,-0.6666666666666666,36.333333333333336,0.0,15.333333333333336,9.333333333333334,32.2,101.61666666666667,,,0,0,0,0,0,0,2,20170415,201704,2017,4,15,10,0,0,1108.5309278350514,582
2017041511,15.9,-1.1,31.0,0.0,16.666666666666668,11.333333333333336,32.2,101.44333333333331,,,0,0,0,0,0,0,0,20170415,201704,2017,4,15,11,0,0,1103.6389244558259,781
2017041512,17.166666666666668,-1.4666666666666668,27.66666666666667,0.0,15.666666666666664,11.0,32.2,101.28666666666668,,,0,0,0,0,0,0,0,20170415,201704,2017,4,15,12,0,0,1057.1671641791042,1005
2017041513,17.866666666666667,-1.0333333333333334,27.66666666666667,0.0,17.0,11.666666666666664,32.2,101.18666666666668,,,0,0,0,0,0,1,0,20170415,201704,2017,4,15,13,0,0,1131.324915824916,1188
2017041514,18.4,-0.09999999999999996,28.33333333333333,0.0,16.333333333333332,15.333333333333336,32.2,101.05666666666669,,,0,0,0,0,0,0,0,20170415,201704,2017,4,15,14,0,0,1174.5691573926867,1258
